Iteration;bike_travel;bike_wait;car_travel;car_wait;freight_travel;freight_wait;pt_travel;pt_wait;ride_travel;ride_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
245;10565;0;20806;0;6499;0;15474;3462;4626;0;0;0;25591;0
246;10719;0;20842;0;6510;0;15509;3472;4555;0;0;0;25246;0
247;10618;0;20880;0;6532;0;15507;3488;4545;0;0;0;25314;0
248;10534;0;20982;0;6594;0;15559;3535;4564;0;0;0;25255;0
249;10558;0;20692;0;6587;0;15582;3487;4551;0;0;0;25322;0
250;10671;0;20752;0;6604;0;15551;3478;4596;0;0;0;25080;0
251;10488;0;20745;0;6570;0;15536;3479;4552;0;0;0;25082;0
252;10416;0;20780;0;6598;0;15617;3485;4524;0;0;0;25279;0
253;10562;0;20742;0;6600;0;15570;3446;4558;0;0;0;25256;0
254;10610;0;20709;0;6549;0;15548;3479;4566;0;0;0;25167;0
255;10616;0;20726;0;6608;0;15563;3544;4550;0;0;0;25375;0
256;10741;0;20516;0;6517;0;15556;3495;4531;0;0;0;25205;0
257;10542;0;20531;0;6494;0;15579;3445;4527;0;0;0;25421;0
258;10446;0;20588;0;6516;0;15587;3440;4568;0;0;0;25200;0
259;10532;0;20559;0;6507;0;15548;3469;4525;0;0;0;25266;0
260;10544;0;20885;0;6493;0;15552;3495;4563;0;0;0;25189;0
261;10535;0;20679;0;6579;0;15585;3457;4529;0;0;0;25348;0
262;10554;0;20669;0;6545;0;15565;3477;4576;0;0;0;24991;0
263;10448;0;20509;0;6499;0;15576;3488;4518;0;0;0;25235;0
264;10502;0;20516;0;6528;0;15602;3490;4519;0;0;0;25105;0
265;10572;0;20462;0;6569;0;15617;3442;4519;0;0;0;24977;0
266;10590;0;20537;0;6532;0;15614;3474;4525;0;0;0;24799;0
267;10575;0;20432;0;6615;0;15589;3392;4539;0;0;0;25135;0
268;10448;0;20579;0;6511;0;15575;3427;4587;0;0;0;25144;0
269;10263;0;20561;0;6558;0;15639;3450;4564;0;0;0;24797;0
270;10546;0;20676;0;6618;0;15554;3404;4558;0;0;0;25350;0
271;10469;0;20601;0;6578;0;15637;3485;4509;0;0;0;24919;0
272;10448;0;20604;0;6619;0;15580;3455;4525;0;0;0;25312;0
273;10601;0;20704;0;6567;0;15597;3415;4572;0;0;0;24901;0
274;10494;0;20578;0;6546;0;15638;3400;4552;0;0;0;24784;0
275;10444;0;20679;0;6611;0;15675;3413;4566;0;0;0;24758;0
276;10449;0;20686;0;6578;0;15599;3433;4569;0;0;0;24955;0
277;10596;0;20415;0;6573;0;15631;3377;4551;0;0;0;24927;0
278;10604;0;20409;0;6521;0;15591;3424;4540;0;0;0;25086;0
279;10520;0;20598;0;6581;0;15620;3445;4545;0;0;0;24969;0
280;10385;0;20612;0;6520;0;15602;3407;4564;0;0;0;25212;0
281;10414;0;20448;0;6526;0;15625;3392;4559;0;0;0;24723;0
282;10480;0;20138;0;6496;0;15646;3419;4559;0;0;0;24936;0
283;10537;0;20615;0;6515;0;15632;3403;4544;0;0;0;24750;0
284;10573;0;20266;0;6579;0;15649;3396;4518;0;0;0;24887;0
285;10441;0;20348;0;6504;0;15607;3417;4590;0;0;0;24880;0
286;10496;0;20327;0;6501;0;15576;3381;4545;0;0;0;25054;0
287;10528;0;20524;0;6561;0;15609;3387;4545;0;0;0;24974;0
288;10638;0;20118;0;6547;0;15612;3384;4532;0;0;0;24838;0
289;10418;0;20544;0;6619;0;15614;3392;4557;0;0;0;24573;0
290;10502;0;20486;0;6573;0;15612;3395;4565;0;0;0;24579;0
291;10556;0;20327;0;6567;0;15674;3369;4558;0;0;0;24812;0
292;10376;0;20179;0;6509;0;15683;3410;4526;0;0;0;24766;0
293;10488;0;20356;0;6510;0;15630;3387;4562;0;0;0;24733;0
294;10490;0;20255;0;6497;0;15645;3389;4564;0;0;0;24715;0
295;10561;0;20255;0;6471;0;15579;3366;4613;0;0;0;24692;0
296;10505;0;20177;0;6523;0;15650;3363;4558;0;0;0;24647;0
297;10442;0;20206;0;6536;0;15653;3378;4552;0;0;0;24397;0
298;10505;0;20359;0;6517;0;15656;3393;4556;0;0;0;24479;0
299;10461;0;20209;0;6532;0;15661;3359;4549;0;0;0;24765;0
300;10464;0;20228;0;6524;0;15687;3361;4514;0;0;0;24536;0
301;10428;0;20256;0;6563;0;15703;3369;4510;0;0;0;24662;0
302;10380;0;20300;0;6544;0;15649;3397;4536;0;0;0;24725;0
303;10448;0;20044;0;6602;0;15678;3340;4588;0;0;0;24752;0
304;10335;0;20406;0;6587;0;15657;3336;4577;0;0;0;24551;0
305;10426;0;20304;0;6550;0;15639;3410;4582;0;0;0;24546;0
306;10440;0;20492;0;6549;0;15663;3382;4541;0;0;0;24441;0
307;10600;0;20156;0;6529;0;15670;3332;4518;0;0;0;24453;0
308;10568;0;20226;0;6531;0;15686;3326;4546;0;0;0;24341;0
309;10524;0;20217;0;6507;0;15631;3364;4590;0;0;0;24381;0
310;10426;0;20350;0;6450;0;15718;3346;4514;0;0;0;24433;0
311;10418;0;20309;0;6539;0;15672;3296;4566;0;0;0;24298;0
312;10350;0;20449;0;6546;0;15698;3331;4567;0;0;0;24312;0
313;10373;0;20462;0;6509;0;15676;3356;4561;0;0;0;24146;0
314;10405;0;20286;0;6489;0;15691;3359;4534;0;0;0;24408;0
315;10353;0;20105;0;6431;0;15737;3330;4531;0;0;0;24357;0
316;10408;0;20127;0;6442;0;15666;3343;4549;0;0;0;24487;0
317;10405;0;20243;0;6443;0;15732;3328;4503;0;0;0;24283;0
318;10438;0;20185;0;6459;0;15716;3321;4520;0;0;0;24327;0
319;10491;0;20059;0;6525;0;15659;3314;4499;0;0;0;24468;0
320;10489;0;20189;0;6495;0;15718;3360;4524;0;0;0;24142;0
321;10397;0;20015;0;6437;0;15713;3317;4529;0;0;0;24354;0
322;10367;0;20152;0;6427;0;15749;3340;4477;0;0;0;24480;0
323;10444;0;20290;0;6447;0;15651;3295;4532;0;0;0;24439;0
324;10339;0;19997;0;6461;0;15710;3337;4570;0;0;0;24260;0
325;10471;0;20191;0;6492;0;15682;3302;4512;0;0;0;24516;0
326;10414;0;20148;0;6437;0;15679;3329;4550;0;0;0;24329;0
327;10354;0;19951;0;6472;0;15751;3326;4563;0;0;0;24302;0
328;10397;0;20119;0;6492;0;15743;3357;4505;0;0;0;24179;0
329;10453;0;20166;0;6476;0;15686;3328;4519;0;0;0;24345;0
330;10388;0;20155;0;6563;0;15709;3301;4534;0;0;0;24467;0
331;10360;0;20032;0;6449;0;15750;3306;4523;0;0;0;24369;0
332;10478;0;20277;0;6493;0;15707;3285;4491;0;0;0;24214;0
333;10452;0;20293;0;6518;0;15727;3320;4506;0;0;0;24138;0
334;10464;0;20554;0;6488;0;15720;3293;4515;0;0;0;24038;0
335;10411;0;20423;0;6514;0;15731;3272;4503;0;0;0;24151;0
336;10340;0;20333;0;6458;0;15720;3316;4531;0;0;0;24091;0
337;10433;0;20145;0;6480;0;15742;3294;4536;0;0;0;24174;0
338;10339;0;20222;0;6470;0;15725;3308;4540;0;0;0;24027;0
339;10321;0;20061;0;6511;0;15738;3260;4584;0;0;0;24037;0
340;10368;0;20080;0;6498;0;15780;3330;4509;0;0;0;24268;0
341;10408;0;20132;0;6505;0;15739;3296;4574;0;0;0;24151;0
342;10503;0;20129;0;6476;0;15764;3295;4503;0;0;0;23907;0
343;10403;0;20038;0;6552;0;15752;3278;4502;0;0;0;24203;0
344;10434;0;20007;0;6429;0;15770;3295;4527;0;0;0;23933;0
345;10413;0;19964;0;6464;0;15744;3300;4545;0;0;0;23947;0
346;10426;0;20118;0;6476;0;15724;3289;4540;0;0;0;24090;0
347;10485;0;20096;0;6440;0;15728;3268;4489;0;0;0;24202;0
348;10498;0;20014;0;6432;0;15744;3290;4525;0;0;0;23965;0
349;10396;0;20067;0;6483;0;15722;3255;4522;0;0;0;24121;0
350;10416;0;19981;0;6486;0;15719;3276;4548;0;0;0;23968;0
351;10405;0;20000;0;6405;0;15721;3298;4583;0;0;0;23939;0
352;10385;0;20001;0;6394;0;15734;3247;4513;0;0;0;23948;0
353;10380;0;20004;0;6410;0;15717;3265;4558;0;0;0;23918;0
354;10428;0;20234;0;6440;0;15757;3312;4506;0;0;0;23870;0
355;10393;0;19912;0;6449;0;15738;3261;4558;0;0;0;24120;0
356;10343;0;19940;0;6499;0;15740;3251;4529;0;0;0;24199;0
357;10374;0;20025;0;6401;0;15785;3266;4521;0;0;0;23792;0
358;10454;0;19830;0;6337;0;15752;3264;4507;0;0;0;24125;0
359;10453;0;20043;0;6334;0;15737;3274;4498;0;0;0;23825;0
360;10418;0;19946;0;6413;0;15776;3258;4491;0;0;0;23932;0
361;10344;0;20023;0;6418;0;15769;3224;4490;0;0;0;23919;0
362;10332;0;19826;0;6357;0;15776;3260;4487;0;0;0;23872;0
363;10458;0;20034;0;6383;0;15704;3233;4512;0;0;0;23828;0
364;10385;0;19963;0;6400;0;15761;3282;4476;0;0;0;23912;0
365;10368;0;19945;0;6414;0;15719;3229;4494;0;0;0;23807;0
366;10391;0;20199;0;6434;0;15742;3233;4501;0;0;0;23826;0
367;10334;0;19962;0;6397;0;15769;3240;4508;0;0;0;23855;0
