it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
269;0.1824;0.8176;0.0608;0.0608;0.0608
270;0.1813;0.8187;0.0604;0.0604;0.0604
271;0.1803;0.8197;0.0601;0.0601;0.0601
272;0.1792;0.8208;0.0597;0.0597;0.0597
273;0.1782;0.8218;0.0594;0.0594;0.0594
274;0.1772;0.8228;0.0591;0.0591;0.0591
275;0.1761;0.8239;0.0587;0.0587;0.0587
276;0.1751;0.8249;0.0584;0.0584;0.0584
277;0.1741;0.8259;0.0580;0.0580;0.0580
278;0.1730;0.8270;0.0577;0.0577;0.0577
279;0.1720;0.8280;0.0573;0.0573;0.0573
280;0.1710;0.8290;0.0570;0.0570;0.0570
281;0.1700;0.8300;0.0567;0.0567;0.0567
282;0.1689;0.8311;0.0563;0.0563;0.0563
283;0.1679;0.8321;0.0560;0.0560;0.0560
284;0.1669;0.8331;0.0556;0.0556;0.0556
285;0.1659;0.8341;0.0553;0.0553;0.0553
286;0.1649;0.8351;0.0550;0.0550;0.0550
287;0.1639;0.8361;0.0546;0.0546;0.0546
288;0.1629;0.8371;0.0543;0.0543;0.0543
289;0.1619;0.8381;0.0540;0.0540;0.0540
290;0.1609;0.8391;0.0536;0.0536;0.0536
291;0.1599;0.8401;0.0533;0.0533;0.0533
292;0.1589;0.8411;0.0530;0.0530;0.0530
293;0.1580;0.8420;0.0527;0.0527;0.0527
294;0.1570;0.8430;0.0523;0.0523;0.0523
295;0.1560;0.8440;0.0520;0.0520;0.0520
296;0.1550;0.8450;0.0517;0.0517;0.0517
297;0.1541;0.8459;0.0514;0.0514;0.0514
298;0.1531;0.8469;0.0510;0.0510;0.0510
299;0.1521;0.8479;0.0507;0.0507;0.0507
300;0.1512;0.8488;0.0504;0.0504;0.0504
301;0.1502;0.8498;0.0501;0.0501;0.0501
302;0.1493;0.8507;0.0498;0.0498;0.0498
303;0.1483;0.8517;0.0494;0.0494;0.0494
304;0.1474;0.8526;0.0491;0.0491;0.0491
305;0.1464;0.8536;0.0488;0.0488;0.0488
306;0.1455;0.8545;0.0485;0.0485;0.0485
307;0.1445;0.8555;0.0482;0.0482;0.0482
308;0.1436;0.8564;0.0479;0.0479;0.0479
309;0.1427;0.8573;0.0476;0.0476;0.0476
310;0.1418;0.8582;0.0473;0.0473;0.0473
311;0.1408;0.8592;0.0469;0.0469;0.0469
312;0.1399;0.8601;0.0466;0.0466;0.0466
313;0.1390;0.8610;0.0463;0.0463;0.0463
314;0.1381;0.8619;0.0460;0.0460;0.0460
315;0.1372;0.8628;0.0457;0.0457;0.0457
316;0.1363;0.8637;0.0454;0.0454;0.0454
317;0.1354;0.8646;0.0451;0.0451;0.0451
318;0.1345;0.8655;0.0448;0.0448;0.0448
319;0.1336;0.8664;0.0445;0.0445;0.0445
320;0.1327;0.8673;0.0442;0.0442;0.0442
321;0.1318;0.8682;0.0439;0.0439;0.0439
322;0.1309;0.8691;0.0436;0.0436;0.0436
323;0.1301;0.8699;0.0434;0.0434;0.0434
324;0.1292;0.8708;0.0431;0.0431;0.0431
325;0.1283;0.8717;0.0428;0.0428;0.0428
326;0.1275;0.8725;0.0425;0.0425;0.0425
327;0.1266;0.8734;0.0422;0.0422;0.0422
328;0.1258;0.8742;0.0419;0.0419;0.0419
329;0.1249;0.8751;0.0416;0.0416;0.0416
330;0.1241;0.8759;0.0414;0.0414;0.0414
331;0.1232;0.8768;0.0411;0.0411;0.0411
332;0.1224;0.8776;0.0408;0.0408;0.0408
333;0.1215;0.8785;0.0405;0.0405;0.0405
334;0.1207;0.8793;0.0402;0.0402;0.0402
335;0.1199;0.8801;0.0400;0.0400;0.0400
336;0.1191;0.8809;0.0397;0.0397;0.0397
337;0.1182;0.8818;0.0394;0.0394;0.0394
338;0.1174;0.8826;0.0391;0.0391;0.0391
339;0.1166;0.8834;0.0389;0.0389;0.0389
340;0.1158;0.8842;0.0386;0.0386;0.0386
341;0.1150;0.8850;0.0383;0.0383;0.0383
342;0.1142;0.8858;0.0381;0.0381;0.0381
343;0.1134;0.8866;0.0378;0.0378;0.0378
344;0.1126;0.8874;0.0375;0.0375;0.0375
345;0.1118;0.8882;0.0373;0.0373;0.0373
346;0.1111;0.8889;0.0370;0.0370;0.0370
347;0.1103;0.8897;0.0368;0.0368;0.0368
348;0.1095;0.8905;0.0365;0.0365;0.0365
349;0.1088;0.8912;0.0363;0.0363;0.0363
350;0.1080;0.8920;0.0360;0.0360;0.0360
351;0.1072;0.8928;0.0357;0.0357;0.0357
352;0.1065;0.8935;0.0355;0.0355;0.0355
353;0.1057;0.8943;0.0352;0.0352;0.0352
354;0.1050;0.8950;0.0350;0.0350;0.0350
355;0.1042;0.8958;0.0347;0.0347;0.0347
356;0.1035;0.8965;0.0345;0.0345;0.0345
357;0.1028;0.8972;0.0343;0.0343;0.0343
358;0.1020;0.8980;0.0340;0.0340;0.0340
359;0.1013;0.8987;0.0338;0.0338;0.0338
360;0.1006;0.8994;0.0335;0.0335;0.0335
361;0.0999;0.9001;0.0333;0.0333;0.0333
362;0.0992;0.9008;0.0331;0.0331;0.0331
363;0.0984;0.9016;0.0328;0.0328;0.0328
364;0.0977;0.9023;0.0326;0.0326;0.0326
365;0.0970;0.9030;0.0323;0.0323;0.0323
366;0.0963;0.9037;0.0321;0.0321;0.0321
