Iteration;bike;car;freight;pt;ride;walk
312;117006;575451;233417;512548;163833;107847
313;117273;575026;233307;511975;163898;107112
314;117631;575908;234075;512074;162899;108272
315;117037;574490;233404;513696;162781;108047
316;117665;575253;233533;510873;163987;108618
317;117632;575913;234370;513656;161732;107719
318;117998;574589;234038;513344;162562;107915
319;118597;575567;233920;511155;162017;108535
320;118578;574869;233506;512542;162961;107095
321;117541;572906;233612;512941;163460;108034
322;117203;575889;233663;514070;160823;108590
323;118070;577670;233392;510512;163192;108411
324;116890;575604;233813;512168;164763;107619
325;118371;576100;234845;511374;162531;108748
326;117730;575480;233638;511205;164105;107923
327;117059;573965;233552;514077;164910;107803
328;117541;574140;233968;513715;162329;107259
329;118177;575993;233556;511418;162785;107994
330;117442;574973;233995;512905;163157;108532
331;117122;573573;234320;514302;163070;108099
332;118458;576473;234136;512665;161530;107413
333;118166;575920;234086;513266;161979;107074
334;118301;575293;233458;513470;162917;106630
335;117696;574003;233189;513461;162272;107135
336;116894;575246;234312;513677;163315;106869
337;117943;573049;233768;513929;163377;107236
338;116886;575407;233355;513409;163525;106586
339;116676;573944;233540;513872;165706;106629
340;117216;573087;233968;515587;162329;107651
341;117670;572433;232846;513694;165460;107136
342;118741;574342;232795;514544;162450;106052
343;117603;573597;234619;514669;162012;107363
344;117961;573561;233154;515190;163271;106169
345;117724;573358;233443;514154;164218;106230
346;117867;573321;234381;513894;163811;106864
347;118536;574371;233706;513168;161680;107360
348;118683;572937;233533;513970;163244;106310
349;117534;574630;233564;513572;163171;107001
350;117756;572927;234035;513195;163908;106325
351;117628;572626;233424;513370;165418;106197
352;117405;574574;233025;514296;162759;106236
353;117345;571488;233168;513668;164792;106103
354;117893;573116;233903;514382;162737;105888
355;117497;571793;234109;514038;164864;106998
356;116931;574075;234271;514283;163448;107346
357;117285;573428;234227;515533;163277;105545
358;118185;573042;233184;514576;162836;107017
359;118171;574014;232675;514053;162276;105691
360;117781;575434;234214;515093;162079;106166
361;116939;575057;233140;515414;161802;106108
362;116810;575714;233330;515985;161835;105896
363;118233;574140;233048;513070;162731;105702
364;117407;576167;233618;515438;161643;106075
365;117216;576938;233266;513809;162109;105611
366;117476;575613;233375;514620;162256;105695
367;116831;575594;233125;515528;162987;105825
368;117921;574779;234597;513348;161710;105524
369;117557;573923;233349;515052;163006;105249
370;117407;573386;233679;514765;163286;105725
371;117587;573862;233177;516230;161664;105166
372;118204;574151;233327;515151;162271;105377
373;117143;574699;233059;515775;161653;104819
374;117405;574916;233188;515872;162457;104763
375;119020;574605;233674;514102;162080;105697
376;116636;574945;233275;516238;162676;104932
377;116259;575393;233585;517021;161510;105423
378;118249;572807;233621;516259;162462;105372
379;116441;572243;233326;515847;163056;105232
380;116621;572645;233986;517982;162192;105172
381;117613;575530;233535;515432;162533;105501
382;117012;574703;234085;517680;162251;104805
383;117361;573536;233456;514972;163768;104674
384;117658;573971;233750;516270;162958;104751
385;117261;572121;233366;515972;163202;105805
386;117324;572655;233714;517297;163535;104184
387;117384;573012;232728;515067;164181;105155
388;116931;573604;233430;516304;163646;104823
389;117307;573654;233621;516976;162110;104769
390;117150;574974;233512;515515;163416;103944
391;118333;573953;234016;516399;162452;103599
392;116539;574702;232328;515804;163432;104655
393;117072;574413;233056;516266;162506;104918
394;116494;575091;233992;517082;162337;104661
395;117630;573005;233785;516967;162430;104794
396;117623;573339;233435;516994;163201;104840
397;118461;573281;233753;516203;162819;103845
398;116903;572035;232890;516940;163738;105574
399;117562;571408;234082;516967;164005;104197
400;117206;574031;233561;515540;162623;105310
401;117565;571578;233660;518584;163237;104269
402;116419;571135;233613;519071;163708;104829
403;117341;572311;233819;517037;164038;104427
404;116155;572032;233360;517348;164048;104787
405;116439;571952;233401;518523;163141;104124
406;116584;571026;233211;517228;164893;104184
407;116460;573047;233386;518383;162839;103974
408;116647;571253;233196;517799;163392;105075
409;116205;573120;233206;517387;163618;104517
410;115898;572813;233973;517228;165187;104072
411;116435;573246;233556;516675;163833;104460
412;117109;572464;233481;517635;164206;103864
413;116271;573505;233822;517232;164418;104310
414;116691;573151;233276;516871;163291;104460
415;116039;572528;232691;518878;162482;104310
416;115705;572920;233819;518035;164371;104071
417;116407;571939;233073;518147;164399;104382
418;116811;572509;233636;517163;164788;103922
419;115978;571782;233683;518825;165519;102983
420;116527;572262;232650;518404;164509;103161
421;116226;571955;234246;518216;165026;103762
422;116262;572416;233509;518183;164008;103840
423;117311;571868;234734;518274;163605;103681
424;116041;573251;233519;518201;164048;103824
425;115661;574121;233041;517045;164815;103868
426;116676;573330;232942;517795;164177;103547
