economic_status,dist_group,main_mode,ref_share,sim_share
medium,1000 - 2000,walk,0.053791497044609206,0.03275996551582576
medium,2000 - 5000,bike,0.054730928906679355,0.08894043269428134
medium,2000 - 5000,car,0.053843962895243146,0.01073525185762962
medium,2000 - 5000,pt,0.06617655580215062,0.07531097335687012
medium,2000 - 5000,ride,0.01916203987731777,0.030481546861529606
medium,2000 - 5000,walk,0.013040227239873699,0.0016215772404450095
medium,5000 - 10000,bike,0.025746362493292263,0.0392462744776058
medium,5000 - 10000,car,0.05641048735516865,0.012541565745720263
medium,5000 - 10000,pt,0.0803428358681505,0.08799622316187033
medium,5000 - 10000,ride,0.014289507868521132,0.03910259041832586
medium,5000 - 10000,walk,0.0018418487953256967,3.078944127427233E-4
medium,10000 - 20000,bike,0.006346523947575606,0.003838417012192617
medium,10000 - 20000,car,0.04150377161860775,0.010057884149595629
medium,10000 - 20000,pt,0.06295256184667311,0.09208095570425712
medium,10000 - 20000,ride,0.007480292504846956,0.02089576747813949
medium,10000 - 20000,walk,3.9041214757875366E-4,1.0263147091424111E-4
medium,20000+,bike,6.804332184464681E-4,1.0263147091424111E-4
medium,20000+,car,0.02185775719424005,0.00611683566648877
medium,20000+,pt,0.023834126105462358,0.03323207028203127
medium,20000+,ride,0.0039068278179567725,0.004536311014409457
medium,20000+,walk,1.988826866040669E-4,4.105258836569644E-5
high,0 - 1000,bike,0.04193921447266617,0.015048052604957007
high,0 - 1000,car,0.00929697620587237,0.0028452200303490144
high,0 - 1000,pt,0.0019245320576424146,0.0068601416287304
high,0 - 1000,ride,0.002954434979592225,0.0031297420333839155
high,0 - 1000,walk,0.21013293332150748,0.24680703085483058
high,1000 - 2000,bike,0.04692346920897565,0.05709408194233688
high,1000 - 2000,car,0.022359163419126023,0.005311077389984826
high,1000 - 2000,pt,0.015981054592241382,0.03199291856348002
high,1000 - 2000,ride,0.009697817108783351,0.011665402124430957
high,1000 - 2000,walk,0.04629924755619725,0.028420586747597374
high,2000 - 5000,bike,0.06385560203538199,0.09028831562974204
high,2000 - 5000,car,0.05664195116716654,0.012613808801213962
high,2000 - 5000,pt,0.06341010532730179,0.07119372787051088
high,2000 - 5000,ride,0.020629778167114116,0.03512266059686394
high,2000 - 5000,walk,0.01302233546047106,0.001264542235710673
high,5000 - 10000,bike,0.03340249625957815,0.03888467374810319
high,5000 - 10000,car,0.055220824351894966,0.013151239251390997
high,5000 - 10000,pt,0.07681631343460592,0.09272255943348509
high,5000 - 10000,ride,0.014151567281204707,0.043278958017197784
high,5000 - 10000,walk,0.0010048399305621644,4.1097622660596865E-4
high,10000 - 20000,bike,0.00928354237460376,0.004615579160343957
high,10000 - 20000,car,0.050821603528762326,0.011570561456752657
high,10000 - 20000,pt,0.06361373744580247,0.10296535154274153
high,10000 - 20000,ride,0.009672528719534407,0.02529084471421346
high,10000 - 20000,walk,2.0657971873687807E-4,2.2129489124936776E-4
high,20000+,bike,4.3427613503130026E-4,6.322711178553364E-5
high,20000+,car,0.030273045982812608,0.005785280728376328
high,20000+,pt,0.025319864147407983,0.03607106727364695
high,20000+,ride,0.004383208486815367,0.005121396054628225
high,20000+,walk,3.269571226073729E-4,1.8968133535660094E-4
very_high,0 - 1000,bike,0.04115639089698632,0.015801354401805873
very_high,0 - 1000,car,0.012722254325776058,0.004004951576494576
very_high,0 - 1000,pt,0.0021241404664278096,0.007063278234908616
very_high,0 - 1000,ride,0.006479698270689628,0.0029126920556324194
very_high,0 - 1000,walk,0.21073962672422655,0.2634529964319523
very_high,1000 - 2000,bike,0.049624289723521814,0.06291414840166025
very_high,1000 - 2000,car,0.027506136216120445,0.007572999344644289
very_high,1000 - 2000,pt,0.01303483773449794,0.03116580499526688
very_high,1000 - 2000,ride,0.0153056585348435,0.01063132600305833
very_high,1000 - 2000,walk,0.04457442399939019,0.03218524721473823
very_high,2000 - 5000,bike,0.05436881795634979,0.08883710769678878
very_high,2000 - 5000,car,0.06181110351680054,0.01500036408650696
very_high,2000 - 5000,pt,0.05826964813749159,0.07238039758246562
very_high,2000 - 5000,ride,0.027868419493269472,0.03495230466758903
very_high,2000 - 5000,walk,0.008853536562096665,0.00152916332920702
very_high,5000 - 10000,bike,0.026207509263161375,0.03393286244811768
very_high,5000 - 10000,car,0.0631967019240507,0.01376246996286318
very_high,5000 - 10000,pt,0.06408662985856174,0.07689507026869587
very_high,5000 - 10000,ride,0.01669413615012988,0.04019515036772738
very_high,5000 - 10000,walk,0.001775540605374485,1.4563460278162093E-4
very_high,10000 - 20000,bike,0.00916609078166196,0.003640865069540524
