age,dist_group,main_mode,ref_share,sim_share
25 - 35,20000+,ride,0.0030800427147738116,0.005738586872982529
25 - 35,20000+,walk,1.5601954332448124E-4,5.1237382794486854E-5
35 - 66,0 - 1000,bike,0.04033277150806345,0.016584345201344584
35 - 66,0 - 1000,car,0.01257661515762158,0.003755916855320025
35 - 66,0 - 1000,pt,0.002627358555652047,0.00821499622693284
35 - 66,0 - 1000,ride,0.0012742924964107107,0.003155656170679838
35 - 66,0 - 1000,walk,0.2065201992488169,0.23806338752829803
35 - 66,1000 - 2000,bike,0.04607701204034772,0.04989023804623722
35 - 66,1000 - 2000,car,0.028801869123512333,0.006517116004664883
35 - 66,1000 - 2000,pt,0.014894709162723202,0.03421485902449064
35 - 66,1000 - 2000,ride,0.003931427250738329,0.01015298072305687
35 - 66,1000 - 2000,walk,0.043267826623570024,0.02979008026342869
35 - 66,2000 - 5000,bike,0.06163162187857759,0.07968031830966592
35 - 66,2000 - 5000,car,0.06587612217476325,0.0130513823146052
35 - 66,2000 - 5000,pt,0.0539705212914723,0.07456952733758661
35 - 66,2000 - 5000,ride,0.008515244305250141,0.030407491253344313
35 - 66,2000 - 5000,walk,0.01261322076311258,0.0017321808328188242
35 - 66,5000 - 10000,bike,0.03491374943567429,0.03821088015366674
35 - 66,5000 - 10000,car,0.07107640811792383,0.01498936681072923
